budget_nodes,correct,cpu_s,energy_uj,from_cache,job,metadata,mode,notes,peak_rss_bytes,peak_vram_bytes,repeat,scenario,wall_s
,True,0.0002712859999999262,NA,False,tiny/baseline/repeat_0,{'method': 'NA'},baseline,,64249856,0,0,tiny,0.00022905699995590112
,True,0.0003558750000000055,NA,False,tiny/baseline/repeat_1,{'method': 'NA'},baseline,,64380928,0,1,tiny,0.000303486999996494
,True,0.00031581899999999496,NA,False,tiny/baseline/repeat_2,{'method': 'NA'},baseline,,64380928,0,2,tiny,0.000274232000037955
2,True,0.0014347489999999574,NA,True,tiny/sqrt-2/repeat_0,{'method': 'NA'},sqrt,,64380928,0,0,tiny,0.0012717630000906865
2,True,0.001475073000000049,NA,True,tiny/sqrt-2/repeat_1,{'method': 'NA'},sqrt,,64380928,0,1,tiny,0.0013143119999767805
2,True,0.0013388819999999857,NA,True,tiny/sqrt-2/repeat_2,{'method': 'NA'},sqrt,,64380928,0,2,tiny,0.0011835990000008678
3,True,0.0009265790000000385,NA,True,tiny/sqrt-3/repeat_0,{'method': 'NA'},sqrt,,64380928,0,0,tiny,0.0009273310000708079
3,True,0.0013674790000000048,NA,True,tiny/sqrt-3/repeat_1,{'method': 'NA'},sqrt,,64380928,0,1,tiny,0.0012427290000687208
3,True,0.0013650160000000522,NA,True,tiny/sqrt-3/repeat_2,{'method': 'NA'},sqrt,,64380928,0,2,tiny,0.0012218799998890972
,True,0.0003481909999999422,NA,False,synthetic/baseline/repeat_0,{'method': 'NA'},baseline,,64380928,0,0,synthetic,0.00030527000001256965
,True,0.0003438329999999601,NA,False,synthetic/baseline/repeat_1,{'method': 'NA'},baseline,,64380928,0,1,synthetic,0.00029588199993213493
,True,0.00023509899999996087,NA,False,synthetic/baseline/repeat_2,{'method': 'NA'},baseline,,64380928,0,2,synthetic,0.0002360099999805243
5,True,0.0021272989999999714,NA,False,synthetic/sqrt-5/repeat_0,{'method': 'NA'},sqrt,,64380928,0,0,synthetic,0.0019709680000232765
5,True,0.001140397999999987,NA,True,synthetic/sqrt-5/repeat_1,{'method': 'NA'},sqrt,,64380928,0,1,synthetic,0.0011029380000309175
5,True,0.001412477000000023,NA,True,synthetic/sqrt-5/repeat_2,{'method': 'NA'},sqrt,,64380928,0,2,synthetic,0.0012793470000360685
10,True,0.0017536419999999442,NA,False,synthetic/sqrt-10/repeat_0,{'method': 'NA'},sqrt,,64380928,0,0,synthetic,0.0017540630000212332
10,True,0.00141785300000008,NA,True,synthetic/sqrt-10/repeat_1,{'method': 'NA'},sqrt,,64380928,0,1,synthetic,0.001288454999894384
10,True,0.0013655510000000204,NA,True,synthetic/sqrt-10/repeat_2,{'method': 'NA'},sqrt,,64380928,0,2,synthetic,0.0012254270000084944
20,True,0.0016315059999999493,NA,False,synthetic/sqrt-20/repeat_0,{'method': 'NA'},sqrt,,64380928,0,0,synthetic,0.0015001689999962764
20,True,0.0014999399999999774,NA,True,synthetic/sqrt-20/repeat_1,{'method': 'NA'},sqrt,,64380928,0,1,synthetic,0.0013554290000001856
20,True,0.0009984929999999892,NA,True,synthetic/sqrt-20/repeat_2,{'method': 'NA'},sqrt,,64380928,0,2,synthetic,0.0009989240001004873
